27/08/12 17:06
Estatística do projeto

                           	Segmentos	Palavras	Caracteres (sem espaços)	Caracteres (incluindo espaços)	
Total de palavras          	     5089	   44851	                  242711	                        283094	
Restantes:                 	     4290	   42781	                  231239	                        270365	
Únicos:                    	     4268	   41260	                  222459	                        259929	
Segmentos únicos restantes:	     3674	   39486	                  212804	                        249108	


Estatística do arquivo individual:

Nome do arquivo                                                                                                                 	Total de segmentos 	Segmentos restantes	Segmentos únicos	Segmentos únicos restantes	Total de palavras	Palavras restantes para traduzir	Palavras únicas	Palavras únicas restantes	Total de caracteres (sem espaços)	Caracteres restantes (sem espaços)	Caracteres únicos (sem espaços)	Caracteres únicos restantes (sem espaços)	Total de caracteres (incluindo espaços)	Caracteres restantes (incluindo espaços)	Caracteres únicos (incluindo espaços)	Caracteres únicos restantes (incluindo espaços)	
org\sonar\l10n\checkstyle.properties                                                                                            	                468	                468	             339	                       339	             2737	                            2737	           2134	                     2134	                            14883	                             14883	                          11788	                                    11788	                                  17164	                                   17164	                                13594	                                          13594	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.annotation.AnnotationUseStyleCheck.html       	                  1	                  1	               1	                         1	                8	                               8	              8	                        8	                               42	                                42	                             42	                                       42	                                     49	                                      49	                                   49	                                             49	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.annotation.MissingDeprecatedCheck.html        	                  1	                  1	               1	                         1	               19	                              19	             19	                       19	                              114	                               114	                            114	                                      114	                                    132	                                     132	                                  132	                                            132	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.annotation.MissingOverrideCheck.html          	                  1	                  1	               1	                         1	               14	                              14	             14	                       14	                               92	                                92	                             92	                                       92	                                    105	                                     105	                                  105	                                            105	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.annotation.PackageAnnotationCheck.html        	                  7	                  7	               7	                         7	               66	                              66	             66	                       66	                              390	                               390	                            390	                                      390	                                    442	                                     442	                                  442	                                            442	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck.html         	                  7	                  7	               7	                         7	               85	                              85	             85	                       85	                              506	                               506	                            506	                                      506	                                    586	                                     586	                                  586	                                            586	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.ArrayTypeStyleCheck.html                      	                  2	                  2	               2	                         2	               26	                              26	             26	                       26	                              143	                               143	                            143	                                      143	                                    165	                                     165	                                  165	                                            165	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.blocks.AvoidNestedBlocksCheck.html            	                  1	                  1	               1	                         1	                3	                               3	              3	                        3	                               18	                                18	                             18	                                       18	                                     20	                                      20	                                   20	                                             20	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.blocks.EmptyBlockCheck.html                   	                  1	                  1	               1	                         1	                4	                               4	              4	                        4	                               21	                                21	                             21	                                       21	                                     24	                                      24	                                   24	                                             24	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck.html                    	                  3	                  3	               3	                         3	               29	                              29	             29	                       29	                              155	                               155	                            155	                                      155	                                    181	                                     181	                                  181	                                            181	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck.html                   	                  1	                  1	               1	                         1	                6	                               6	              6	                        6	                               32	                                32	                             32	                                       32	                                     37	                                      37	                                   37	                                             37	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.blocks.RightCurlyCheck.html                   	                  1	                  1	               1	                         1	                7	                               7	              7	                        7	                               37	                                37	                             37	                                       37	                                     43	                                      43	                                   43	                                             43	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.ArrayTrailingCommaCheck.html           	                  1	                  1	               1	                         1	                8	                               8	              8	                        8	                               57	                                57	                             57	                                       57	                                     64	                                      64	                                   64	                                             64	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.AvoidInlineConditionalsCheck.html      	                  1	                  1	               1	                         1	                3	                               3	              3	                        3	                               26	                                26	                             26	                                       26	                                     28	                                      28	                                   28	                                             28	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.CovariantEqualsCheck.html              	                  1	                  1	               1	                         1	               16	                              16	             16	                       16	                               92	                                92	                             92	                                       92	                                    106	                                     106	                                  106	                                            106	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.DeclarationOrderCheck.html             	                  7	                  7	               6	                         6	               67	                              67	             49	                       49	                              380	                               380	                            281	                                      281	                                    441	                                     441	                                  325	                                            325	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.DefaultComesLastCheck.html             	                  1	                  1	               1	                         1	               13	                              13	             13	                       13	                               56	                                56	                             56	                                       56	                                     68	                                      68	                                   68	                                             68	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.DoubleCheckedLockingCheck.html         	                  1	                  1	               1	                         1	               25	                              25	             25	                       25	                              144	                               144	                            144	                                      144	                                    168	                                     168	                                  168	                                            168	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.EmptyStatementCheck.html               	                  1	                  1	               1	                         1	                4	                               4	              4	                        4	                               38	                                38	                             38	                                       38	                                     42	                                      42	                                   42	                                             42	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck.html              	                 19	                 19	              18	                        18	              210	                             210	            207	                      207	                             1197	                              1197	                           1175	                                     1175	                                   1389	                                    1389	                                 1364	                                           1364	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.EqualsHashCodeCheck.html               	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               60	                                60	                             60	                                       60	                                     68	                                      68	                                   68	                                             68	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck.html       	                  1	                  1	               1	                         1	               29	                              29	             29	                       29	                              145	                               145	                            145	                                      145	                                    173	                                     173	                                  173	                                            173	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.html                  	                  1	                  1	               1	                         1	               24	                              24	             24	                       24	                              126	                               126	                            126	                                      126	                                    150	                                     150	                                  150	                                            150	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck.html           	                  1	                  1	               1	                         1	               14	                              14	             14	                       14	                               76	                                76	                             76	                                       76	                                     89	                                      89	                                   89	                                             89	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck.html                  	                  1	                  1	               1	                         1	               20	                              20	             20	                       20	                               83	                                83	                             83	                                       83	                                    102	                                     102	                                  102	                                            102	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.IllegalCatchCheck.html                 	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               95	                                95	                             95	                                       95	                                    103	                                     103	                                  103	                                            103	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.IllegalInstantiationCheck.html         	                  6	                  6	               6	                         6	               94	                              94	             94	                       94	                              519	                               519	                            519	                                      519	                                    607	                                     607	                                  607	                                            607	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.IllegalThrowsCheck.html                	                  1	                  1	               1	                         1	                8	                               8	              8	                        8	                               75	                                75	                             75	                                       75	                                     82	                                      82	                                   82	                                             82	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenCheck.html                 	                  3	                  3	               3	                         3	               37	                              37	             37	                       37	                              203	                               203	                            203	                                      203	                                    237	                                     237	                                  237	                                            237	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.IllegalTokenTextCheck.html             	                  1	                  1	               1	                         1	                5	                               5	              5	                        5	                               26	                                26	                             26	                                       26	                                     30	                                      30	                                   30	                                             30	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck.html                  	                  1	                  1	               1	                         1	               16	                              16	             16	                       16	                               92	                                92	                             92	                                       92	                                    107	                                     107	                                  107	                                            107	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.InnerAssignmentCheck.html              	                  1	                  1	               1	                         1	               13	                              13	             13	                       13	                               76	                                76	                             76	                                       76	                                     89	                                      89	                                   89	                                             89	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck.html                  	                  1	                  1	               1	                         1	                4	                               4	              4	                        4	                               22	                                22	                             22	                                       22	                                     25	                                      25	                                   25	                                             25	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.MissingCtorCheck.html                  	                  1	                  1	               1	                         1	               16	                              16	             16	                       16	                               82	                                82	                             82	                                       82	                                     97	                                      97	                                   97	                                             97	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.MissingSwitchDefaultCheck.html         	                  1	                  1	               1	                         1	                7	                               7	              7	                        7	                               42	                                42	                             42	                                       42	                                     48	                                      48	                                   48	                                             48	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck.html      	                  1	                  1	               1	                         1	               15	                              15	             15	                       15	                               75	                                75	                             75	                                       75	                                     89	                                      89	                                   89	                                             89	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.MultipleStringLiteralsCheck.html       	                  2	                  2	               2	                         2	               32	                              32	             32	                       32	                              173	                               173	                            173	                                      173	                                    203	                                     203	                                  203	                                            203	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck.html 	                  1	                  1	               1	                         1	               15	                              15	             15	                       15	                               68	                                68	                             68	                                       68	                                     82	                                      82	                                   82	                                             82	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.NestedForDepthCheck.html               	                  1	                  1	               1	                         1	                8	                               8	              8	                        8	                               42	                                42	                             42	                                       42	                                     49	                                      49	                                   49	                                             49	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.NestedIfDepthCheck.html                	                  1	                  1	               1	                         1	               10	                              10	             10	                       10	                               57	                                57	                             57	                                       57	                                     67	                                      67	                                   67	                                             67	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.NestedTryDepthCheck.html               	                  1	                  1	               1	                         1	               10	                              10	             10	                       10	                               67	                                67	                             67	                                       67	                                     77	                                      77	                                   77	                                             77	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.NoCloneCheck.html                      	                 34	                 34	              34	                        34	              465	                             465	            465	                      465	                             2502	                              2502	                           2502	                                     2502	                                   2928	                                    2928	                                 2928	                                           2928	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.NoFinalizerCheck.html                  	                  1	                  1	               1	                         1	               10	                              10	             10	                       10	                               51	                                51	                             51	                                       51	                                     60	                                      60	                                   60	                                             60	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.OneStatementPerLineCheck.html          	                  2	                  2	               2	                         2	               27	                              27	             27	                       27	                              112	                               112	                            112	                                      112	                                    140	                                     140	                                  140	                                            140	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.coding.PackageDeclarationCheck.html           	                  1	                  1	               1	                         1	                6	                               6	              6	                        6	                               34	                                34	                             34	                                       34	                                     39	                                      39	                                   39	                                             39	
